Stand;Nationality;male_under_3;male_3_to_6;male_6_to_10;male_10_to_15;male_15_to_18;male_18_to_21;male_21_to_30;male_30_to_50;male_50_to_60;male_60_to_65;male_65_and_up;male;female_under_3;female_3_to_6;female_6_to_10;female_10_to_15;female_15_to_18;female_18_to_21;female_21_to_30;female_30_to_50;female_50_to_60;female_60_to_65;female_65_and_up;female;overall_under_3;overall_3_to_6;overall_6_to_10;overall_10_to_15;overall_15_to_18;overall_18_to_21;overall_21_to_30;overall_30_to_50;overall_50_to_60;overall_60_to_65;overall_65_and_up;overall
31.12.2019;Deutschland;1049274;1043474;1324380;1689434;1054989;1117705;3517524;8559784;6099554;2587816;7496740;35540674;997551;992986;1258849;1603176;1001610;1061179;3379426;8453711;6106792;2682696;9690039;37228015;2046825;2036460;2583229;3292610;2056599;2178884;6896950;17013495;12206346;5270512;17186779;72768689
31.12.2019;Albanien;1551;1929;1932;1909;1225;1749;9274;15952;2223;331;276;38351;1422;1652;1588;1566;846;1350;7953;11251;1305;271;292;29496;2973;3581;3520;3475;2071;3099;17227;27203;3528;602;568;67847
31.12.2019;Bosnien und Herzegowina;2216;2049;2589;3150;1975;2376;16153;42217;13872;3545;12458;102600;2022;1956;2454;2674;1829;2181;14633;35689;12433;4799;12876;93546;4238;4005;5043;5824;3804;4557;30786;77906;26305;8344;25334;196146
31.12.2019;Belgien;136;151;266;328;191;265;2032;4464;2682;1110;2101;13726;130;166;265;321;158;307;1920;3609;2054;1014;2511;12455;266;317;531;649;349;572;3952;8073;4736;2124;4612;26181
31.12.2019;Bulgarien;8015;8174;9221;11403;5641;7070;28999;76895;19306;3700;2600;181024;7664;7663;8795;10690;5146;6915;26548;64651;15732;3471;3912;161187;15679;15837;18016;22093;10787;13985;55547;141546;35038;7171;6512;342211
31.12.2019;D�nemark;92;102;140;241;145;248;1185;2922;1728;577;1400;8780;94;87;105;206;131;291;1328;2511;1512;703;3125;10093;186;189;245;447;276;539;2513;5433;3240;1280;4525;18873
31.12.2019;Estland;70;76;109;125;89;72;452;1073;208;65;104;2443;66;87;97;126;83;107;679;2077;451;170;240;4183;136;163;206;251;172;179;1131;3150;659;235;344;6626
31.12.2019;Finnland;71;96;156;142;87;90;758;1761;583;184;388;4316;74;96;148;161;85;184;1200;2526;989;434;2655;8552;145;192;304;303;172;274;1958;4287;1572;618;3043;12868
31.12.2019;Frankreich;719;839;1233;1578;938;1510;11663;21091;7956;3252;7462;58241;624;747;1130;1554;921;2100;12399;21072;8806;3675;9474;62502;1343;1586;2363;3132;1859;3610;24062;42163;16762;6927;16936;120743
31.12.2019;Kroatien;4887;4370;5979;6867;3572;5413;31811;84235;27415;6621;27057;208227;4530;4097;5522;6314;3395;4492;24822;66332;22609;8827;31077;182017;9417;8467;11501;13181;6967;9905;56633;150567;50024;15448;58134;390244
31.12.2019;Slowenien;242;217;338;395;181;214;1854;5845;1705;454;2810;14255;206;255;267;351;164;219;1594;4410;1382;555;3450;12853;448;472;605;746;345;433;3448;10255;3087;1009;6260;27108
31.12.2019;Griechenland;2822;3045;3963;5461;3498;4559;22280;59877;31045;11331;27115;174996;2500;2701;3794;5039;3328;4330;20700;51179;24615;8877;27062;154125;5322;5746;7757;10500;6826;8889;42980;111056;55660;20208;54177;329121
31.12.2019;Irland;72;98;179;166;91;166;1648;3520;1295;443;584;8262;78;92;182;164;92;188;1274;1965;933;332;637;5937;150;190;361;330;183;354;2922;5485;2228;775;1221;14199
31.12.2019;Island;16;19;28;38;25;20;209;450;145;40;96;1086;8;14;25;24;17;23;190;331;109;43;78;862;24;33;53;62;42;43;399;781;254;83;174;1948
31.12.2019;Italien;3967;4361;5712;6972;5194;8199;49639;116235;57971;25208;54760;338218;3845;4098;5354;6627;4926;7725;42500;86319;40888;15742;32502;250526;7812;8459;11066;13599;10120;15924;92139;202554;98859;40950;87262;588744
31.12.2019;Lettland;535;724;712;947;490;634;3158;7935;1861;427;462;17885;496;661;665;860;521;541;2824;8365;2319;732;861;18845;1031;1385;1377;1807;1011;1175;5982;16300;4180;1159;1323;36730
31.12.2019;Montenegro (ab 03.06.2006);292;372;399;434;208;319;1678;3744;1095;179;553;9273;289;353;460;372;208;230;1094;2845;636;230;529;7246;581;725;859;806;416;549;2772;6589;1731;409;1082;16519
31.12.2019;Litauen;623;789;935;1101;578;872;4942;10622;2720;555;316;24053;602;725;931;1064;543;760;4467;13799;4484;1359;1220;29954;1225;1514;1866;2165;1121;1632;9409;24421;7204;1914;1536;54007
31.12.2019;Luxemburg;55;115;201;316;193;483;2637;3034;1444;652;1196;10326;62;108;186;311;184;516;2734;2657;1349;641;1182;9930;117;223;387;627;377;999;5371;5691;2793;1293;2378;20256
31.12.2019;Nordmazedonien;1947;2282;2657;2650;1676;2150;11652;23434;5496;910;4770;59624;1824;2123;2244;2327;1522;1834;9232;21107;4018;1381;4550;52162;3771;4405;4901;4977;3198;3984;20884;44541;9514;2291;9320;111786
31.12.2019;Malta;5;13;11;8;5;7;52;170;35;19;28;353;10;6;9;10;3;7;64;144;31;21;29;334;15;19;20;18;8;14;116;314;66;40;57;687
31.12.2019;Moldau, Republik;1208;1046;849;807;389;322;1255;2666;681;241;635;10099;1184;941;830;777;319;485;3522;5408;902;325;945;15638;2392;1987;1679;1584;708;807;4777;8074;1583;566;1580;25737
31.12.2019;Niederlande;639;825;1351;2141;1293;1341;6305;20673;16472;6578;16702;74320;625;748;1287;2067;1268;1391;5875;14884;10599;5014;16205;59963;1264;1573;2638;4208;2561;2732;12180;35557;27071;11592;32907;134283
31.12.2019;Norwegen;45;59;71;61;55;110;664;1201;484;191;521;3462;32;67;61;63;72;117;765;1179;483;170;795;3804;77;126;132;124;127;227;1429;2380;967;361;1316;7266
31.12.2019;Kosovo;2949;4143;4789;4911;3166;2907;17544;34921;6607;894;2144;84975;2712;3881;4454;4505;2731;2760;13154;29206;4497;1086;2092;71078;5661;8024;9243;9416;5897;5667;30698;64127;11104;1980;4236;156053
31.12.2019;�sterreich;455;619;804;1204;795;1083;7770;23689;16453;6481;24517;83870;409;584;783;1190;707;1337;9601;23269;15475;6712;22568;82635;864;1203;1587;2394;1502;2420;17371;46958;31928;13193;47085;166505
31.12.2019;Polen;10598;10530;12388;14480;7031;9259;68128;186423;54988;18103;11531;403459;10095;9976;11823;13648;6590;8576;57454;161171;51434;17710;19314;367791;20693;20506;24211;28128;13621;17835;125582;347594;106422;35813;30845;771250
31.12.2019;Portugal;863;912;1195;1655;1291;1789;9113;25933;13376;3344;7400;66871;812;921;1153;1538;1227;1745;7829;20310;10973;2802;8490;57800;1675;1833;2348;3193;2518;3534;16942;46243;24349;6146;15890;124671
31.12.2019;Rum�nien;18429;15131;14443;16177;7557;14284;81193;189869;35541;4709;3218;400551;17441;14291;13626;15417;7008;10831;61803;129914;25825;5093;6539;307788;35870;29422;28069;31594;14565;25115;142996;319783;61366;9802;9757;708339
31.12.2019;Slowakei;1064;916;934;1045;485;679;5044;13103;2607;589;472;26938;1009;872;892;978;470;637;4734;14129;2532;637;748;27638;2073;1788;1826;2023;955;1316;9778;27232;5139;1226;1220;54576
31.12.2019;Schweden;178;216;316;335;185;204;1446;3416;1282;397;960;8935;145;192;295;334;182;260;1751;3496;1145;350;1800;9950;323;408;611;669;367;464;3197;6912;2427;747;2760;18885
31.12.2019;Schweiz;146;208;249;273;198;290;2266;5240;3223;1554;5015;18662;137;178;266;293;232;394;2973;6039;4135;1902;6698;23247;283;386;515;566;430;684;5239;11279;7358;3456;11713;41909
31.12.2019;Russische F�deration;2453;3002;4111;5049;3129;2857;9511;31299;11503;3882;7571;84367;2244;2988;3928;4685;2868;3338;18877;73097;18678;5810;13038;149551;4697;5990;8039;9734;5997;6195;28388;104396;30181;9692;20609;233918
31.12.2019;Spanien;1659;1816;2607;3430;1605;1945;13166;32172;11151;3204;8626;81381;1474;1695;2427;3078;1442;2033;12681;29242;10476;3008;8880;76436;3133;3511;5034;6508;3047;3978;25847;61414;21627;6212;17506;157817
31.12.2019;T�rkei;3119;6020;7408;6565;5613;15067;99581;266584;125126;30998;101156;667237;2998;5809;7031;6082;5279;14254;89891;263359;109730;30191;123253;657877;6117;11829;14439;12647;10892;29321;189472;529943;234856;61189;224409;1325114
31.12.2019;Tschechien;759;798;931;1042;498;560;3940;11146;2853;816;1043;24386;686;787;835;984;537;635;4360;16174;3763;1180;2064;32005;1445;1585;1766;2026;1035;1195;8300;27320;6616;1996;3107;56391
31.12.2019;Ungarn;3037;2591;2897;3776;1955;2658;18467;51364;13650;3949;3646;107990;2901;2515;2743;3647;1809;2264;15781;38442;9972;2412;3038;85524;5938;5106;5640;7423;3764;4922;34248;89806;23622;6361;6684;193514
31.12.2019;Ukraine;1108;1373;1599;2276;1397;1693;6697;15374;5319;2119;7768;46723;1090;1271;1621;2155;1369;1894;13278;37705;9814;3498;12863;86558;2198;2644;3220;4431;2766;3587;19975;53079;15133;5617;20631;133281
31.12.2019;Vereinigtes K�nigreich;436;503;747;754;375;678;7330;17896;9442;3779;6851;48791;378;495;728;749;346;686;5530;9465;4118;1613;4153;28261;814;998;1475;1503;721;1364;12860;27361;13560;5392;11004;77052
31.12.2019;Wei�russland;174;229;276;352;213;274;897;2464;570;177;511;6137;177;203;287;323;215;330;2049;8859;1829;473;939;15684;351;432;563;675;428;604;2946;11323;2399;650;1450;21821
31.12.2019;Serbien;3215;3865;4776;4801;2615;2761;13168;38483;10702;2472;7227;94085;2956;3712;4475;4679;2538;2877;13053;35388;8375;3014;8797;89864;6171;7577;9251;9480;5153;5638;26221;73871;19077;5486;16024;183949
31.12.2019;Zypern;13;24;21;14;9;53;447;471;106;32;70;1260;24;21;16;19;11;94;588;346;88;27;43;1277;37;45;37;33;20;147;1035;817;194;59;113;2537
31.12.2019;�briges Europa;8;6;334;2136;2372;3179;10700;23970;11696;3359;17909;75669;2;5;319;2051;2299;3101;10066;24173;11027;4665;19369;77077;10;11;653;4187;4671;6280;20766;48143;22723;8024;37278;152746
31.12.2019;Algerien;254;237;203;164;151;281;2002;4314;1449;276;440;9771;222;210;183;141;55;65;835;2858;505;113;201;5388;476;447;386;305;206;346;2837;7172;1954;389;641;15159
31.12.2019;Angola;80;119;151;225;119;145;345;551;376;163;67;2341;86;85;140;196;147;121;279;813;315;31;61;2274;166;204;291;421;266;266;624;1364;691;194;128;4615
31.12.2019;Eritrea;3511;1979;1060;754;527;2899;20660;12308;555;139;220;44612;3252;1812;950;712;366;1124;7554;5317;663;188;324;22262;6763;3791;2010;1466;893;4023;28214;17625;1218;327;544;66874
31.12.2019;�thiopien;968;678;332;219;142;457;2300;2630;589;102;155;8572;852;623;304;232;116;178;1954;3023;528;129;185;8124;1820;1301;636;451;258;635;4254;5653;1117;231;340;16696
31.12.2019;Benin;77;58;35;34;37;76;486;768;104;32;17;1724;66;48;51;49;29;39;157;387;55;10;1;892;143;106;86;83;66;115;643;1155;159;42;18;2616
31.12.2019;Cote d'Ivoire;235;104;90;69;66;328;1556;1431;196;27;15;4117;222;92;83;76;50;115;664;877;110;12;6;2307;457;196;173;145;116;443;2220;2308;306;39;21;6424
31.12.2019;Nigeria;5370;3129;2063;1087;321;634;7960;15197;1677;188;176;37802;5452;2904;1958;1070;319;617;6722;10665;488;54;78;30327;10822;6033;4021;2157;640;1251;14682;25862;2165;242;254;68129
31.12.2019;Gambia;191;120;127;123;217;1361;6404;3312;430;62;41;12388;195;117;86;108;69;95;489;879;68;8;2;2116;386;237;213;231;286;1456;6893;4191;498;70;43;14504
31.12.2019;Ghana;1298;1046;870;689;386;428;2265;6663;2463;709;690;17507;1276;1099;882;722;348;315;1622;7171;2589;588;327;16939;2574;2145;1752;1411;734;743;3887;13834;5052;1297;1017;34446
31.12.2019;Kenia;220;193;254;216;131;118;693;1389;193;34;43;3484;211;181;256;230;164;157;1433;4455;567;137;91;7882;431;374;510;446;295;275;2126;5844;760;171;134;11366
31.12.2019;Libyen;364;501;517;380;167;266;1719;3513;533;134;241;8335;336;462;457;288;124;97;560;1551;246;95;123;4339;700;963;974;668;291;363;2279;5064;779;229;364;12674
31.12.2019;Madagaskar;22;11;11;13;7;18;400;137;33;6;9;667;43;8;10;12;3;146;1589;471;53;11;11;2357;65;19;21;25;10;164;1989;608;86;17;20;3024
31.12.2019;Mali;36;27;32;24;41;237;1214;704;65;9;14;2403;33;29;38;24;16;11;121;169;23;6;2;472;69;56;70;48;57;248;1335;873;88;15;16;2875
31.12.2019;Marokko;1271;1037;920;677;347;839;7458;13700;3488;602;3258;33597;1224;960;895;612;218;674;7539;16491;3165;1498;3217;36493;2495;1997;1815;1289;565;1513;14997;30191;6653;2100;6475;70090
31.12.2019;Burkina Faso;42;21;30;26;15;59;342;608;113;18;18;1292;38;28;34;34;18;18;148;282;35;8;2;645;80;49;64;60;33;77;490;890;148;26;20;1937
31.12.2019;Guinea-Bissau;59;30;21;32;46;156;566;325;51;7;7;1300;62;36;28;25;19;30;110;179;16;2;3;510;121;66;49;57;65;186;676;504;67;9;10;1810
31.12.2019;Guinea;483;221;225;155;727;3106;4933;1702;122;26;36;11736;418;217;205;126;146;382;1332;851;62;13;27;3779;901;438;430;281;873;3488;6265;2553;184;39;63;15515
31.12.2019;Kamerun;689;465;338;256;174;678;5338;4504;302;30;64;12838;604;406;361;264;154;615;4257;3781;208;59;98;10807;1293;871;699;520;328;1293;9595;8285;510;89;162;23645
31.12.2019;S�dafrika;50;82;98;102;57;80;552;1661;325;119;140;3266;55;71;76;96;45;116;693;1737;449;138;247;3723;105;153;174;198;102;196;1245;3398;774;257;387;6989
31.12.2019;Senegal;85;79;58;69;67;130;1012;1472;327;111;81;3491;93;86;54;45;30;49;318;796;92;6;6;1575;178;165;112;114;97;179;1330;2268;419;117;87;5066
31.12.2019;Sierra Leone;136;78;77;60;68;260;1161;1036;108;24;39;3047;135;76;78;79;35;69;337;395;59;8;12;1283;271;154;155;139;103;329;1498;1431;167;32;51;4330
31.12.2019;Somalia;2595;1655;891;727;760;3173;10353;4645;383;102;137;25421;2360;1453;744;712;481;1042;4890;3026;361;99;150;15318;4955;3108;1635;1439;1241;4215;15243;7671;744;201;287;40739
31.12.2019;Sudan (einschlie�lich S�dsudan) (bis 08.07.2011);163;128;179;146;100;351;2401;2598;255;70;100;6491;144;152;157;145;56;48;454;863;93;25;38;2175;307;280;336;291;156;399;2855;3461;348;95;138;8666
31.12.2019;Togo;171;107;153;260;214;263;1111;1992;975;98;54;5398;136;144;181;238;221;284;926;2190;616;48;21;5005;307;251;334;498;435;547;2037;4182;1591;146;75;10403
31.12.2019;Tunesien;356;297;239;166;105;685;7146;8322;1432;221;1067;20036;350;306;241;163;57;287;3813;5945;928;464;592;13146;706;603;480;329;162;972;10959;14267;2360;685;1659;33182
31.12.2019;�gypten;749;819;934;749;286;977;6503;9490;1235;317;406;22465;717;809;796;602;262;465;2870;4681;389;116;204;11911;1466;1628;1730;1351;548;1442;9373;14171;1624;433;610;34376
31.12.2019;�briges Afrika;480;497;589;603;416;752;3491;5438;2288;440;313;15307;473;464;571;602;355;661;3315;5637;1549;310;336;14273;953;961;1160;1205;771;1413;6806;11075;3837;750;649;29580
31.12.2019;Argentinien;81;66;58;37;45;93;1006;1753;240;75;146;3600;56;62;62;37;47;103;1011;1733;328;106;210;3755;137;128;120;74;92;196;2017;3486;568;181;356;7355
31.12.2019;Brasilien;508;505;518;533;406;648;4899;8142;700;140;288;17287;470;489;502;522;448;777;5974;15531;4201;921;1087;30922;978;994;1020;1055;854;1425;10873;23673;4901;1061;1375;48209
31.12.2019;Chile;38;63;40;43;55;99;1002;2287;369;163;309;4468;37;45;48;61;61;86;894;2149;564;216;467;4628;75;108;88;104;116;185;1896;4436;933;379;776;9096
31.12.2019;Dominikanische Republik;40;43;71;121;113;141;455;874;144;19;17;2038;46;50;71;128;125;135;562;1959;652;101;58;3887;86;93;142;249;238;276;1017;2833;796;120;75;5925
31.12.2019;Ecuador;34;47;46;54;48;207;770;909;164;21;66;2366;35;44;48;33;49;263;828;1244;430;93;109;3176;69;91;94;87;97;470;1598;2153;594;114;175;5542
31.12.2019;Kanada;134;167;181;208;120;203;1675;3502;1285;451;980;8906;135;146;189;169;107;213;2001;3806;1193;398;1028;9385;269;313;370;377;227;416;3676;7308;2478;849;2008;18291
31.12.2019;Kolumbien;106;129;125;171;157;418;2703;3381;284;72;89;7635;123;107;110;143;150;511;4036;4905;1186;305;331;11907;229;236;235;314;307;929;6739;8286;1470;377;420;19542
31.12.2019;Kuba;53;54;83;77;59;74;492;1236;947;222;79;3376;41;58;68;73;69;65;600;2610;810;73;83;4550;94;112;151;150;128;139;1092;3846;1757;295;162;7926
31.12.2019;Mexiko;131;138;169;122;227;343;2628;3691;231;66;87;7833;117;123;142;145;204;355;2937;4583;538;153;270;9567;248;261;311;267;431;698;5565;8274;769;219;357;17400
31.12.2019;Peru;49;57;57;56;57;197;764;1614;481;141;160;3633;48;47;61;83;80;228;1037;3599;1042;244;347;6816;97;104;118;139;137;425;1801;5213;1523;385;507;10449
31.12.2019;Venezuela, Bolivarische Republik;83;93;100;99;65;144;906;1511;221;58;107;3387;84;66;106;115;69;143;966;1961;462;131;241;4344;167;159;206;214;134;287;1872;3472;683;189;348;7731
31.12.2019;Vereinigte Staaten;2499;2009;1621;1363;809;1393;8287;20439;11998;5247;9677;65342;2346;1885;1594;1251;912;1535;9345;17304;7748;2759;7561;54240;4845;3894;3215;2614;1721;2928;17632;37743;19746;8006;17238;119582
31.12.2019;�briges Amerika;130;130;154;179;132;343;1847;3040;615;200;268;7038;122;110;147;181;158;367;1923;3823;876;256;385;8348;252;240;301;360;290;710;3770;6863;1491;456;653;15386
31.12.2019;Jemen;158;159;189;238;149;314;1507;1249;137;53;52;4205;156;160;186;200;104;130;624;872;97;20;31;2580;314;319;375;438;253;444;2131;2121;234;73;83;6785
31.12.2019;Armenien;592;614;656;754;478;393;1450;3828;1054;392;365;10576;542;566;611;651;314;370;2212;4568;1124;429;545;11932;1134;1180;1267;1405;792;763;3662;8396;2178;821;910;22508
31.12.2019;Afghanistan;6362;7108;8713;10363;6380;20853;46596;28533;4337;1603;2538;143386;5982;6800;7662;8180;3918;4353;15285;20114;4430;1499;2913;81136;12344;13908;16375;18543;10298;25206;61881;48647;8767;3102;5451;224522
31.12.2019;Aserbaidschan;647;627;770;1024;547;518;2364;4640;1185;373;561;13256;643;583;716;840;472;374;2390;4365;1211;429;765;12788;1290;1210;1486;1864;1019;892;4754;9005;2396;802;1326;26044
31.12.2019;Georgien;528;576;600;559;268;324;2434;3981;619;199;269;10357;479;485;509;564;245;373;4183;6222;719;231;443;14453;1007;1061;1109;1123;513;697;6617;10203;1338;430;712;24810
31.12.2019;Sri Lanka;218;248;279;307;177;195;1153;4170;2565;946;894;11152;207;257;293;255;154;155;924;5095;2756;733;927;11756;425;505;572;562;331;350;2077;9265;5321;1679;1821;22908
31.12.2019;Vietnam;998;1136;1405;1419;833;1388;6898;10551;9490;2394;1254;37766;898;1121;1313;1359;772;1714;11125;19120;9925;2362;1619;51328;1896;2257;2718;2778;1605;3102;18023;29671;19415;4756;2873;89094
31.12.2019;Korea, Demokratische Volksrepublik;11;16;28;32;28;41;124;368;129;42;110;929;5;25;27;42;18;37;244;513;165;65;125;1266;16;41;55;74;46;78;368;881;294;107;235;2195
31.12.2019;Indien;2644;2549;2527;1417;488;1684;31764;37392;2519;688;952;84624;2518;2509;2281;1205;385;577;16789;23685;1769;413;721;52852;5162;5058;4808;2622;873;2261;48553;61077;4288;1101;1673;137476
31.12.2019;Indonesien;114;122;113;134;91;1134;3175;1898;359;132;426;7698;91;120;128;133;72;879;3644;4526;1037;264;426;11320;205;242;241;267;163;2013;6819;6424;1396;396;852;19018
31.12.2019;Irak;5953;7537;10767;11816;6594;7508;29007;37981;5877;1438;1698;126176;5659;6771;9467;10161;5365;4804;16089;27927;5066;1350;1943;94602;11612;14308;20234;21977;11959;12312;45096;65908;10943;2788;3641;220778
31.12.2019;Iran, Islamische Republik;1559;1457;1763;2183;1367;1853;11267;30171;4939;1870;2977;61406;1598;1477;1533;1897;1044;1185;7251;22696;3731;1201;2528;46141;3157;2934;3296;4080;2411;3038;18518;52867;8670;3071;5505;107547
31.12.2019;Israel;167;194;253;184;95;302;1707;4000;789;261;588;8540;193;176;188;177;81;203;1130;2574;465;188;548;5923;360;370;441;361;176;505;2837;6574;1254;449;1136;14463
31.12.2019;Japan;477;604;640;543;185;319;2100;5799;1341;347;764;13119;427;562;629;499;237;428;2508;10250;2488;689;1578;20295;904;1166;1269;1042;422;747;4608;16049;3829;1036;2342;33414
31.12.2019;Kasachstan;145;274;391;451;359;419;1093;7732;4190;1548;1411;18013;132;203;384;418;348;510;2003;11372;4071;1415;1828;22684;277;477;775;869;707;929;3096;19104;8261;2963;3239;40697
31.12.2019;Jordanien;267;200;169;133;88;251;1969;2405;442;84;378;6386;243;188;153;131;69;104;1287;2032;327;86;177;4797;510;388;322;264;157;355;3256;4437;769;170;555;11183
31.12.2019;Kuwait;13;19;31;36;18;26;121;373;138;41;61;877;11;16;28;28;20;18;45;176;108;48;63;561;24;35;59;64;38;44;166;549;246;89;124;1438
31.12.2019;Kirgisistan;77;93;90;120;68;169;556;980;403;187;318;3061;81;56;91;126;71;242;1188;2128;495;211;501;5190;158;149;181;246;139;411;1744;3108;898;398;819;8251
31.12.2019;Libanon;614;695;799;836;526;718;4425;8374;2485;664;774;20910;581;640;780;710;440;444;2664;5971;2105;521;820;15676;1195;1335;1579;1546;966;1162;7089;14345;4590;1185;1594;36586
31.12.2019;Mongolei;92;95;151;121;58;109;407;552;116;27;28;1756;80;126;111;121;55;190;916;1588;388;56;30;3661;172;221;262;242;113;299;1323;2140;504;83;58;5417
31.12.2019;Nepal;58;50;55;58;29;205;1765;1406;152;25;23;3826;56;50;45;49;35;155;2084;1069;99;12;20;3674;114;100;100;107;64;360;3849;2475;251;37;43;7500
31.12.2019;Pal�stinensische Gebiete;92;91;226;304;155;215;1224;1565;250;51;73;4246;65;85;180;243;122;130;520;695;131;32;61;2264;157;176;406;547;277;345;1744;2260;381;83;134;6510
31.12.2019;Bangladesch;205;162;156;151;73;126;4163;4247;419;110;58;9870;201;160;170;122;43;52;1439;1871;161;28;21;4268;406;322;326;273;116;178;5602;6118;580;138;79;14138
31.12.2019;Pakistan;1277;1170;1475;1703;834;1377;14093;19594;2767;808;777;45875;1231;1097;1376;1386;642;620;4269;9572;1874;472;543;23082;2508;2267;2851;3089;1476;1997;18362;29166;4641;1280;1320;68957
31.12.2019;Philippinen;122;122;193;297;169;138;1390;5690;1555;492;354;10522;105;120;176;292;181;156;2740;10088;3620;1186;1202;19866;227;242;369;589;350;294;4130;15778;5175;1678;1556;30388
31.12.2019;Taiwan;28;36;93;63;68;138;968;1012;202;71;149;2828;29;33;77;63;47;232;1617;2634;606;132;151;5621;57;69;170;126;115;370;2585;3646;808;203;300;8449
31.12.2019;Korea, Republik;331;444;665;698;468;524;3008;5650;847;186;774;13595;274;396;596;602;366;605;5863;8100;1350;385;973;19510;605;840;1261;1300;834;1129;8871;13750;2197;571;1747;33105
31.12.2019;Vereinigte Arabische Emirate;17;34;48;33;18;19;169;400;100;36;57;931;10;35;29;21;10;9;98;245;82;30;57;626;27;69;77;54;28;28;267;645;182;66;114;1557
31.12.2019;Tadschikistan;234;187;167;154;100;318;1063;643;100;19;34;3019;237;171;164;131;52;157;732;530;71;21;46;2312;471;358;331;285;152;475;1795;1173;171;40;80;5331
31.12.2019;Saudi-Arabien;137;158;127;69;24;64;444;954;134;54;100;2265;124;118;97;65;30;38;400;567;66;28;50;1583;261;276;224;134;54;102;844;1521;200;82;150;3848
31.12.2019;Singapur;23;17;35;23;10;18;238;356;66;20;31;837;21;20;21;20;17;15;326;754;217;106;105;1622;44;37;56;43;27;33;564;1110;283;126;136;2459
31.12.2019;Syrien;31592;30062;35548;38969;19691;25332;109023;124063;20844;4875;5140;445139;29863;27175;30864;33030;15179;13456;52166;84862;14774;3694;4796;309859;61455;57237;66412;71999;34870;38788;161189;208925;35618;8569;9936;754998
31.12.2019;Thailand;78;145;301;548;373;448;1527;2155;628;129;209;6541;69;148;303;567;530;620;3222;23789;13468;3589;2658;48963;147;293;604;1115;903;1068;4749;25944;14096;3718;2867;55504
31.12.2019;Usbekistan;101;107;116;127;76;169;864;1208;377;157;471;3773;115;124;99;130;80;153;831;1811;523;221;707;4794;216;231;215;257;156;322;1695;3019;900;378;1178;8567
31.12.2019;China;1199;1591;1626;1427;1056;3220;27697;21413;3165;766;747;63907;1109;1383;1428;1315;961;3003;27800;32499;4615;871;875;75859;2308;2974;3054;2742;2017;6223;55497;53912;7780;1637;1622;139766
31.12.2019;Malaysia;27;51;38;31;21;172;1119;593;205;149;176;2582;25;32;36;28;13;83;720;1203;479;198;199;3016;52;83;74;59;34;255;1839;1796;684;347;375;5598
31.12.2019;�briges Asien;77;120;177;182;131;199;807;1709;462;104;191;4159;76;111;167;181;99;135;856;2035;383;124;204;4371;153;231;344;363;230;334;1663;3744;845;228;395;8530
31.12.2019;Australien;84;93;132;116;67;117;1864;3658;805;273;699;7908;70;90;107;112;102;180;1490;2707;638;228;648;6372;154;183;239;228;169;297;3354;6365;1443;501;1347;14280
31.12.2019;Neuseeland;11;27;30;22;16;23;557;1022;201;76;86;2071;14;22;20;24;20;49;410;621;126;50;98;1454;25;49;50;46;36;72;967;1643;327;126;184;3525
31.12.2019;�briges Ozeanien;3;9;20;6;4;3;59;159;35;10;5;313;4;16;35;3;6;9;28;82;31;4;7;225;7;25;55;9;10;12;87;241;66;14;12;538
31.12.2019;Staatenlos;725;401;554;460;249;213;936;1380;757;379;939;6993;656;378;481;474;185;105;347;605;412;203;521;4367;1381;779;1035;934;434;318;1283;1985;1169;582;1460;11360
31.12.2019;Ungekl�rt / Ohne Angabe;4285;6786;8603;9003;5098;10110;34622;33000;5059;1146;1310;119022;3849;6366;7338;7464;3395;3458;13529;19419;3597;897;1024;70336;8134;13152;15941;16467;8493;13568;48151;52419;8656;2043;2334;189358